token,symbol,name,expiry,strike,lotsize,instrumenttype
"1164552","SENSEX24D1383200PE","SENSEX","13DEC2024",83200,"10","OPTIDX"
"1164964","SENSEX24D1377700CE","SENSEX","13DEC2024",77700,"10","OPTIDX"
"1165496","SENSEX24D1384300PE","SENSEX","13DEC2024",84300,"10","OPTIDX"
"1167992","SENSEX24D1373800CE","SENSEX","13DEC2024",73800,"10","OPTIDX"
"1168113","SENSEX24D1374300CE","SENSEX","13DEC2024",74300,"10","OPTIDX"
"1163845","SENSEX24D1381900PE","SENSEX","13DEC2024",81900,"10","OPTIDX"
"1163843","SENSEX24D1376800CE","SENSEX","13DEC2024",76800,"10","OPTIDX"
"1163877","SENSEX24D1379300PE","SENSEX","13DEC2024",79300,"10","OPTIDX"
"1163913","SENSEX24D1380400CE","SENSEX","13DEC2024",80400,"10","OPTIDX"
"1163971","SENSEX24D1383200CE","SENSEX","13DEC2024",83200,"10","OPTIDX"
"1164055","SENSEX24D1381800CE","SENSEX","13DEC2024",81800,"10","OPTIDX"
"1164090","SENSEX24D1380600PE","SENSEX","13DEC2024",80600,"10","OPTIDX"
"1164152","SENSEX24D1380600CE","SENSEX","13DEC2024",80600,"10","OPTIDX"
"1164373","SENSEX24D1383000CE","SENSEX","13DEC2024",83000,"10","OPTIDX"
"1164424","SENSEX24D1379000PE","SENSEX","13DEC2024",79000,"10","OPTIDX"
"1164547","SENSEX24D1379600CE","SENSEX","13DEC2024",79600,"10","OPTIDX"
"1164924","SENSEX24D1381000CE","SENSEX","13DEC2024",81000,"10","OPTIDX"
"1164570","SENSEX24D1375900CE","SENSEX","13DEC2024",75900,"10","OPTIDX"
"1164626","SENSEX24D1378700CE","SENSEX","13DEC2024",78700,"10","OPTIDX"
"825014","SENSEX24D1385000CE","SENSEX","13DEC2024",85000,"10","OPTIDX"
"825146","SENSEX24D1385000PE","SENSEX","13DEC2024",85000,"10","OPTIDX"
"1164814","SENSEX24D1379100PE","SENSEX","13DEC2024",79100,"10","OPTIDX"
"1164872","SENSEX24D1379100CE","SENSEX","13DEC2024",79100,"10","OPTIDX"
"1164934","SENSEX24D1375700PE","SENSEX","13DEC2024",75700,"10","OPTIDX"
"1164967","SENSEX24D1382800PE","SENSEX","13DEC2024",82800,"10","OPTIDX"
"1165109","SENSEX24D1384000CE","SENSEX","13DEC2024",84000,"10","OPTIDX"
"1165322","SENSEX24D1383800CE","SENSEX","13DEC2024",83800,"10","OPTIDX"
"1165380","SENSEX24D1383700CE","SENSEX","13DEC2024",83700,"10","OPTIDX"
"1165466","SENSEX24D1384400PE","SENSEX","13DEC2024",84400,"10","OPTIDX"
"1166185","SENSEX24D1375300CE","SENSEX","13DEC2024",75300,"10","OPTIDX"
"1166492","SENSEX24D1375100CE","SENSEX","13DEC2024",75100,"10","OPTIDX"
"1166572","SENSEX24D1374800PE","SENSEX","13DEC2024",74800,"10","OPTIDX"
"1164164","SENSEX24D1382900PE","SENSEX","13DEC2024",82900,"10","OPTIDX"
"1165115","SENSEX24D1383500CE","SENSEX","13DEC2024",83500,"10","OPTIDX"
"1165260","SENSEX24D1383900PE","SENSEX","13DEC2024",83900,"10","OPTIDX"
"1165459","SENSEX24D1384100CE","SENSEX","13DEC2024",84100,"10","OPTIDX"
"824686","SENSEX24D1384600PE","SENSEX","13DEC2024",84600,"10","OPTIDX"
"824719","SENSEX24D1384500PE","SENSEX","13DEC2024",84500,"10","OPTIDX"
"825413","SENSEX24D1385700PE","SENSEX","13DEC2024",85700,"10","OPTIDX"
"825437","SENSEX24D1385300CE","SENSEX","13DEC2024",85300,"10","OPTIDX"
"1168242","SENSEX24D1374100PE","SENSEX","13DEC2024",74100,"10","OPTIDX"
"824628","SENSEX24D1384700CE","SENSEX","13DEC2024",84700,"10","OPTIDX"
"824858","SENSEX24D1384500CE","SENSEX","13DEC2024",84500,"10","OPTIDX"
"825229","SENSEX24D1385800PE","SENSEX","13DEC2024",85800,"10","OPTIDX"
"825217","SENSEX24D1385500CE","SENSEX","13DEC2024",85500,"10","OPTIDX"
"825275","SENSEX24D1385700CE","SENSEX","13DEC2024",85700,"10","OPTIDX"
"1164029","SENSEX24D1381500PE","SENSEX","13DEC2024",81500,"10","OPTIDX"
"1164141","SENSEX24D1377500PE","SENSEX","13DEC2024",77500,"10","OPTIDX"
"1163905","SENSEX24D1378800PE","SENSEX","13DEC2024",78800,"10","OPTIDX"
"1164172","SENSEX24D1383100PE","SENSEX","13DEC2024",83100,"10","OPTIDX"
"1164349","SENSEX24D1382500PE","SENSEX","13DEC2024",82500,"10","OPTIDX"
"1164361","SENSEX24D1378200PE","SENSEX","13DEC2024",78200,"10","OPTIDX"
"1164399","SENSEX24D1381600PE","SENSEX","13DEC2024",81600,"10","OPTIDX"
"1164403","SENSEX24D1380100PE","SENSEX","13DEC2024",80100,"10","OPTIDX"
"1164456","SENSEX24D1380100CE","SENSEX","13DEC2024",80100,"10","OPTIDX"
"1164505","SENSEX24D1380400PE","SENSEX","13DEC2024",80400,"10","OPTIDX"
"1164516","SENSEX24D1377600PE","SENSEX","13DEC2024",77600,"10","OPTIDX"
"1164541","SENSEX24D1376400CE","SENSEX","13DEC2024",76400,"10","OPTIDX"
"1164550","SENSEX24D1378100CE","SENSEX","13DEC2024",78100,"10","OPTIDX"
"1164656","SENSEX24D1376700CE","SENSEX","13DEC2024",76700,"10","OPTIDX"
"1164682","SENSEX24D1379200PE","SENSEX","13DEC2024",79200,"10","OPTIDX"
"1164724","SENSEX24D1377500CE","SENSEX","13DEC2024",77500,"10","OPTIDX"
"1164862","SENSEX24D1377400CE","SENSEX","13DEC2024",77400,"10","OPTIDX"
"1164921","SENSEX24D1382500CE","SENSEX","13DEC2024",82500,"10","OPTIDX"
"1168315","SENSEX24D1374200CE","SENSEX","13DEC2024",74200,"10","OPTIDX"
"1163931","SENSEX24D1377600CE","SENSEX","13DEC2024",77600,"10","OPTIDX"
"1163996","SENSEX24D1381200CE","SENSEX","13DEC2024",81200,"10","OPTIDX"
"1164031","SENSEX24D1380000PE","SENSEX","13DEC2024",80000,"10","OPTIDX"
"1164097","SENSEX24D1382300PE","SENSEX","13DEC2024",82300,"10","OPTIDX"
"1164116","SENSEX24D1378000PE","SENSEX","13DEC2024",78000,"10","OPTIDX"
"1164119","SENSEX24D1382600CE","SENSEX","13DEC2024",82600,"10","OPTIDX"
"1164289","SENSEX24D1377400PE","SENSEX","13DEC2024",77400,"10","OPTIDX"
"1164430","SENSEX24D1382100CE","SENSEX","13DEC2024",82100,"10","OPTIDX"
"1164597","SENSEX24D1379900PE","SENSEX","13DEC2024",79900,"10","OPTIDX"
"1164663","SENSEX24D1380300PE","SENSEX","13DEC2024",80300,"10","OPTIDX"
"1164688","SENSEX24D1382300CE","SENSEX","13DEC2024",82300,"10","OPTIDX"
"1164851","SENSEX24D1380200CE","SENSEX","13DEC2024",80200,"10","OPTIDX"
"1164970","SENSEX24D1376200CE","SENSEX","13DEC2024",76200,"10","OPTIDX"
"1166516","SENSEX24D1374900PE","SENSEX","13DEC2024",74900,"10","OPTIDX"
"1167600","SENSEX24D1374700PE","SENSEX","13DEC2024",74700,"10","OPTIDX"
"1163937","SENSEX24D1376100CE","SENSEX","13DEC2024",76100,"10","OPTIDX"
"820514","SENSEX24D1373500PE","SENSEX","13DEC2024",73500,"10","OPTIDX"
"824974","SENSEX24D1384900CE","SENSEX","13DEC2024",84900,"10","OPTIDX"
